kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,1618,True,,""
probe,warmup,,allMids,2640,715,True,,""
probe,warmup,,allMids,4371,272,True,,""
probe,warmup,,allMids,5727,604,True,,""
probe,warmup,,allMids,7335,491,True,,""
probe,warmup,,allMids,8839,485,True,,""
probe,warmup,,allMids,10336,465,True,,""
probe,warmup,,allMids,11811,276,True,,""
probe,warmup,,allMids,13111,508,True,,""
probe,warmup,,allMids,14648,272,True,,""
probe,warmup,,allMids,15947,293,True,,""
probe,warmup,,allMids,17247,250,True,,""
probe,warmup,,allMids,18500,678,True,,""
probe,cooldown,,allMids,20187,256,True,,""
probe,cooldown,,allMids,21454,249,True,,""
probe,cooldown,,allMids,22704,302,True,,""
probe,cooldown,,allMids,24017,454,True,,""
probe,cooldown,,allMids,25477,246,True,,""
probe,cooldown,,allMids,26734,379,True,,""
probe,cooldown,,allMids,28125,464,True,,""
probe,cooldown,,allMids,29598,248,True,,""
probe,cooldown,,allMids,30857,272,True,,""
probe,cooldown,,allMids,32169,320,True,,""
probe,cooldown,,allMids,33520,471,True,,""
probe,cooldown,,allMids,35026,565,True,,""
probe,cooldown,,allMids,36610,474,True,,""
probe,cooldown,,allMids,38096,276,True,,""
probe,cooldown,,allMids,39381,246,True,,""
