kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,1424,True,,""
probe,warmup,,allMids,2461,316,True,,""
probe,warmup,,allMids,3807,292,True,,""
probe,warmup,,allMids,5113,474,True,,""
probe,warmup,,allMids,6625,486,True,,""
probe,warmup,,allMids,8147,303,True,,""
probe,warmup,,allMids,9465,285,True,,""
probe,warmup,,allMids,10766,260,True,,""
probe,warmup,,allMids,12037,498,True,,""
probe,warmup,,allMids,13548,252,True,,""
probe,warmup,,allMids,14818,352,True,,""
probe,warmup,,allMids,16196,251,True,,""
probe,warmup,,allMids,17482,526,True,,""
probe,warmup,,allMids,19099,367,True,,""
probe,warmup,,allMids,20480,251,True,,""
probe,warmup,,allMids,21735,254,True,,""
probe,warmup,,allMids,22990,250,True,,""
probe,warmup,,allMids,24244,455,True,,""
probe,warmup,,allMids,25713,314,True,,""
probe,warmup,,allMids,27030,274,True,,""
probe,warmup,,allMids,28307,253,True,,""
probe,warmup,,allMids,29573,297,True,,""
probe,warmup,,allMids,30906,277,True,,""
probe,warmup,,allMids,32197,247,True,,""
probe,warmup,,allMids,33475,316,True,,""
probe,warmup,,allMids,34815,244,True,,""
probe,warmup,,allMids,36067,242,True,,""
probe,warmup,,allMids,37314,261,True,,""
probe,warmup,,allMids,38589,262,True,,""
probe,warmup,,allMids,39859,245,True,,""
probe,warmup,,allMids,41118,250,True,,""
probe,warmup,,allMids,42381,256,True,,""
probe,warmup,,allMids,43645,284,True,,""
probe,warmup,,allMids,44939,249,True,,""
probe,warmup,,allMids,46202,243,True,,""
probe,warmup,,allMids,47467,269,True,,""
probe,warmup,,allMids,48749,295,True,,""
probe,warmup,,allMids,50056,265,True,,""
probe,warmup,,allMids,51329,249,True,,""
probe,warmup,,allMids,52586,257,True,,""
probe,warmup,,allMids,53851,249,True,,""
probe,warmup,,allMids,55104,463,True,,""
probe,warmup,,allMids,56580,262,True,,""
probe,warmup,,allMids,57847,241,True,,""
probe,warmup,,allMids,59102,253,True,,""
probe,cooldown,,allMids,60358,266,True,,""
probe,cooldown,,allMids,61638,475,True,,""
probe,cooldown,,allMids,63161,349,True,,""
probe,cooldown,,allMids,64584,469,True,,""
probe,cooldown,,allMids,66095,355,True,,""
probe,cooldown,,allMids,67683,796,True,,""
probe,cooldown,,allMids,69553,665,True,,""
probe,cooldown,,allMids,71305,462,True,,""
probe,cooldown,,allMids,72822,402,True,,""
probe,cooldown,,allMids,74367,400,True,,""
probe,cooldown,,allMids,75856,515,True,,""
probe,cooldown,,allMids,77431,383,True,,""
probe,cooldown,,allMids,78854,732,True,,""
probe,cooldown,,allMids,80614,508,True,,""
probe,cooldown,,allMids,82200,303,True,,""
probe,cooldown,,allMids,83532,291,True,,""
probe,cooldown,,allMids,84866,289,True,,""
probe,cooldown,,allMids,86267,378,True,,""
probe,cooldown,,allMids,87725,451,True,,""
probe,cooldown,,allMids,89262,397,True,,""
