kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,795,True,,""
probe,warmup,,allMids,1809,255,True,,""
probe,warmup,,allMids,3069,248,True,,""
probe,warmup,,allMids,4319,251,True,,""
probe,warmup,,allMids,5572,241,True,,""
probe,warmup,,allMids,6813,245,True,,""
probe,warmup,,allMids,8066,242,True,,""
probe,warmup,,allMids,9311,244,True,,""
probe,warmup,,allMids,10558,244,True,,""
probe,warmup,,allMids,11818,466,True,,""
probe,warmup,,allMids,13291,479,True,,""
probe,warmup,,allMids,14784,249,True,,""
burst,burst,0,BTC,15014,280,True,11,""
burst,burst,1,ETH,15036,309,True,11,""
burst,burst,9,TRUMP,15054,311,True,10,""
burst,burst,8,ENA,15054,321,True,11,""
burst,burst,3,SOL,15047,340,True,11,""
burst,burst,6,XRP,15050,340,True,11,""
burst,burst,2,HYPE,15037,353,True,11,""
burst,burst,5,PUMP,15049,342,True,11,""
burst,burst,12,FARTCOIN,15058,334,True,11,""
burst,burst,10,CASHCAT,15055,337,True,11,""
burst,burst,13,NEAR,15062,336,True,11,""
burst,burst,11,UNI,15056,349,True,11,""
burst,burst,7,XMR,15051,354,True,11,""
burst,burst,4,ZEC,15048,358,True,11,""
burst,burst,14,LIT,15064,343,True,11,""
burst,burst,15,XPL,15086,327,True,11,""
burst,burst,16,SUI,15294,252,True,11,""
burst,burst,17,TAO,15345,267,True,11,""
burst,burst,20,kPEPE,15387,281,True,11,""
burst,burst,18,BNB,15366,303,True,11,""
burst,burst,19,LINK,15375,294,True,11,""
burst,burst,21,AVAX,15390,288,True,11,""
burst,burst,24,WLD,15392,290,True,10,""
burst,burst,22,SKR,15391,296,True,11,""
burst,burst,23,DOGE,15391,295,True,11,""
burst,burst,30,ADA,15408,279,True,11,""
burst,burst,29,FET,15407,282,True,10,""
burst,burst,28,AAVE,15406,289,True,11,""
burst,burst,25,NIL,15392,303,True,11,""
burst,burst,27,CRV,15405,291,True,11,""
