kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,1386,True,,""
probe,warmup,,allMids,2420,294,True,,""
probe,warmup,,allMids,3746,307,True,,""
probe,warmup,,allMids,5058,473,True,,""
probe,warmup,,allMids,6550,265,True,,""
probe,warmup,,allMids,7826,263,True,,""
probe,warmup,,allMids,9105,263,True,,""
probe,warmup,,allMids,10383,260,True,,""
probe,warmup,,allMids,11662,510,True,,""
probe,warmup,,allMids,13313,345,True,,""
probe,warmup,,allMids,14666,244,True,,""
probe,warmup,,allMids,15919,296,True,,""
probe,warmup,,allMids,17243,543,True,,""
probe,warmup,,allMids,18799,526,True,,""
burst,burst,0,BTC,20026,323,True,11,""
burst,burst,1,ETH,20087,483,True,11,""
burst,burst,3,SOL,20167,403,True,11,""
burst,burst,2,HYPE,20125,449,True,11,""
burst,burst,5,PUMP,20259,352,True,11,""
burst,burst,4,ZEC,20208,404,True,11,""
burst,burst,6,XRP,20313,384,True,11,""
burst,burst,7,XMR,20359,445,True,10,""
burst,burst,8,ENA,20402,425,True,10,""
probe,burst,,allMids,20356,477,True,,""
burst,burst,12,FARTCOIN,20612,288,True,11,""
burst,burst,9,TRUMP,20570,338,True,10,""
burst,burst,11,UNI,20575,333,True,11,""
burst,burst,10,CASHCAT,20571,337,True,11,""
burst,burst,13,NEAR,20613,296,True,11,""
burst,burst,14,LIT,20698,330,True,11,""
burst,burst,16,SUI,20827,294,True,11,""
burst,burst,15,XPL,20804,317,True,11,""
burst,burst,17,TAO,20901,279,True,11,""
burst,burst,18,BNB,20908,272,True,11,""
burst,burst,20,AVAX,20909,297,True,10,""
burst,burst,19,LINK,20909,298,True,10,""
burst,burst,21,SKR,20909,298,True,11,""
burst,burst,23,kPEPE,21121,297,True,10,""
burst,burst,24,WLD,21122,307,True,10,""
burst,burst,22,DOGE,21028,401,True,10,""
burst,burst,25,NIL,21181,328,True,11,""
burst,burst,28,AAVE,21207,302,True,11,""
burst,burst,29,FET,21207,302,True,11,""
burst,burst,27,CRV,21206,309,True,10,""
burst,burst,26,MON,21181,335,True,10,""
burst,burst,31,PENGU,21429,290,True,10,""
burst,burst,32,SPX,21430,290,True,10,""
burst,burst,30,ADA,21419,354,True,11,""
burst,burst,33,ONDO,21509,301,True,10,""
burst,burst,34,DASH,21509,301,True,11,""
burst,burst,36,AERO,21515,295,True,10,""
burst,burst,37,TRX,21516,298,True,10,""
burst,burst,35,ETHFI,21509,463,True,10,""
burst,burst,39,INJ,21720,292,True,10,""
burst,burst,38,CHIP,21720,294,True,11,""
burst,burst,40,PURR,21774,324,True,8,""
burst,burst,41,VVV,21810,288,True,11,""
burst,burst,44,ARB,21814,283,True,11,""
burst,burst,43,ZRO,21811,324,True,10,""
burst,burst,42,LTC,21810,338,True,11,""
probe,burst,,allMids,21856,326,True,,""
burst,burst,45,ICP,21973,296,True,10,""
burst,burst,47,GRAM,22015,297,True,11,""
