kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,916,True,,""
probe,warmup,,allMids,1940,347,True,,""
probe,warmup,,allMids,3332,410,True,,""
probe,warmup,,allMids,4805,355,True,,""
probe,warmup,,allMids,6190,523,True,,""
probe,warmup,,allMids,7770,536,True,,""
probe,warmup,,allMids,9329,504,True,,""
probe,warmup,,allMids,10867,843,True,,""
probe,warmup,,allMids,12763,506,True,,""
probe,warmup,,allMids,14311,545,True,,""
probe,warmup,,allMids,15873,578,True,,""
probe,warmup,,allMids,17456,460,True,,""
probe,warmup,,allMids,18928,483,True,,""
probe,burst,,allMids,20442,549,True,,""
burst,burst,10,CASHCAT,20132,2005,True,11,""
burst,burst,13,NEAR,20132,2005,True,11,""
burst,burst,14,LIT,20132,2006,True,11,""
burst,burst,4,SOL,20132,2006,True,11,""
burst,burst,7,XMR,20132,2006,True,11,""
burst,burst,9,TRUMP,20132,2006,True,11,""
burst,burst,12,FARTCOIN,20132,2006,True,11,""
burst,burst,8,ENA,20132,2007,True,11,""
burst,burst,3,ZEC,20132,2007,True,11,""
burst,burst,6,XRP,20132,2007,True,11,""
burst,burst,11,UNI,20132,2007,True,11,""
burst,burst,5,PUMP,20132,2007,True,11,""
burst,burst,0,BTC,20012,2127,True,11,""
burst,burst,1,ETH,20131,2008,True,11,""
burst,burst,15,XPL,20132,2008,True,11,""
burst,burst,2,HYPE,20132,2008,True,11,""
burst,burst,30,ADA,22140,236,True,11,""
burst,burst,25,NIL,22139,237,True,11,""
burst,burst,22,SKR,22139,238,True,11,""
burst,burst,18,BNB,22138,241,True,11,""
burst,burst,17,TAO,22138,242,True,11,""
burst,burst,23,DOGE,22139,241,True,11,""
burst,burst,20,kPEPE,22138,242,True,11,""
burst,burst,16,SUI,22137,243,True,11,""
burst,burst,21,AVAX,22138,242,True,11,""
burst,burst,19,LINK,22138,242,True,11,""
burst,burst,24,WLD,22139,242,True,11,""
probe,burst,,allMids,22028,456,True,,""
burst,burst,31,PENGU,22140,465,True,11,""
burst,burst,29,FET,22140,466,True,11,""
burst,burst,28,AAVE,22140,467,True,11,""
burst,burst,26,CRV,22139,467,True,11,""
burst,burst,27,MON,22139,467,True,11,""
burst,burst,32,SPX,22376,237,True,11,""
burst,burst,35,ETHFI,22379,235,True,11,""
burst,burst,34,DASH,22377,238,True,11,""
burst,burst,33,ONDO,22377,238,True,11,""
burst,burst,40,PURR,22381,236,True,9,""
burst,burst,39,INJ,22381,236,True,11,""
burst,burst,36,AERO,22380,237,True,11,""
burst,burst,38,CHIP,22380,237,True,11,""
burst,burst,37,TRX,22380,238,True,11,""
burst,burst,42,LTC,22381,238,True,11,""
burst,burst,41,VVV,22381,239,True,11,""
burst,burst,57,KAITO,22620,243,True,11,""
burst,burst,55,CC,22618,246,True,10,""
burst,burst,56,MET,22618,245,True,11,""
burst,burst,54,PAXG,22618,246,True,11,""
burst,burst,53,MORPHO,22617,247,True,11,""
burst,burst,49,PENDLE,22615,249,True,11,""
burst,burst,50,DOT,22615,249,True,11,""
burst,burst,51,kBONK,22616,249,True,11,""
burst,burst,52,JUP,22617,247,True,11,""
burst,burst,48,VIRTUAL,22614,251,True,11,""
burst,burst,46,HEMI,22607,258,True,11,""
burst,burst,47,GRAM,22607,258,True,11,""
burst,burst,44,ARB,22606,259,True,11,""
burst,burst,43,ZRO,22606,259,True,11,""
burst,burst,45,ICP,22607,259,True,11,""
burst,burst,65,BCH,22865,239,True,10,""
burst,burst,63,ASTER,22865,240,True,10,""
burst,burst,61,HBAR,22864,240,True,10,""
burst,burst,64,APT,22865,240,True,10,""
burst,burst,66,STBL,22865,240,True,9,""
burst,burst,68,POL,22865,240,True,10,""
burst,burst,67,STX,22865,240,True,10,""
burst,burst,59,GRASS,22864,242,True,9,""
burst,burst,60,ZK,22864,242,True,10,""
burst,burst,69,WLFI,22865,242,True,10,""
burst,burst,62,STRK,22864,243,True,10,""
burst,burst,71,ALGO,22866,242,True,10,""
burst,burst,70,MNT,22866,242,True,10,""
burst,burst,72,XLM,22866,242,True,10,""
burst,burst,73,FOGO,22866,242,True,9,""
burst,burst,87,MEGA,23108,244,True,10,""
burst,burst,86,PYTH,23108,245,True,10,""
burst,burst,88,ETC,23108,245,True,10,""
burst,burst,85,FIL,23108,246,True,10,""
burst,burst,83,STABLE,23108,246,True,9,""
burst,burst,84,SAND,23108,246,True,9,""
burst,burst,82,LDO,23107,248,True,10,""
burst,burst,76,ACE,23105,250,True,10,""
burst,burst,79,MINA,23106,249,True,10,""
burst,burst,78,OP,23105,250,True,10,""
burst,burst,77,RENDER,23105,250,True,10,""
burst,burst,80,MELANIA,23106,250,True,10,""
burst,burst,81,TIA,23106,250,True,8,""
burst,burst,75,JTO,23105,251,True,10,""
burst,burst,74,ZORA,23104,252,True,10,""
burst,burst,94,GRIFFAIN,23355,235,True,10,""
burst,burst,92,MOVE,23354,238,True,10,""
burst,burst,91,GMX,23354,239,True,10,""
burst,burst,89,INIT,23353,240,True,10,""
burst,burst,90,kSHIB,23353,239,True,10,""
burst,burst,103,PEOPLE,23357,241,True,10,""
burst,burst,102,RUNE,23356,242,True,10,""
burst,burst,101,ATOM,23356,242,True,10,""
burst,burst,100,SUSHI,23356,243,True,10,""
burst,burst,99,USUAL,23356,243,True,10,""
burst,burst,97,BOME,23356,244,True,10,""
burst,burst,96,APEX,23355,244,True,10,""
burst,burst,98,BSV,23356,244,True,10,""
burst,burst,95,AIXBT,23355,245,True,10,""
burst,burst,93,ZEN,23355,246,True,10,""
probe,burst,,allMids,23506,297,True,,""
burst,burst,117,S,23601,238,True,9,""
burst,burst,118,BLUR,23601,239,True,10,""
burst,burst,111,IOTA,23599,241,True,10,""
burst,burst,114,ZETA,23600,240,True,10,""
burst,burst,113,AVNT,23599,241,True,10,""
burst,burst,115,W,23600,241,True,10,""
burst,burst,116,REZ,23600,241,True,10,""
burst,burst,112,APE,23599,242,True,10,""
burst,burst,109,0G,23598,243,True,10,""
burst,burst,110,KAS,23599,243,True,10,""
burst,burst,107,SYRUP,23593,249,True,10,""
burst,burst,106,SEI,23593,249,True,10,""
burst,burst,108,TURBO,23593,249,True,9,""
burst,burst,105,POPCAT,23592,250,True,10,""
burst,burst,104,CAKE,23590,253,True,10,""
probe,burst,,allMids,24848,320,True,,""
probe,burst,,allMids,26193,257,True,,""
probe,burst,,allMids,27472,273,True,,""
probe,burst,,allMids,28907,504,True,,""
probe,burst,,allMids,30419,245,True,,""
probe,burst,,allMids,31684,295,True,,""
probe,burst,,allMids,32986,250,True,,""
probe,burst,,allMids,34240,466,True,,""
probe,burst,,allMids,35719,254,False,,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
probe,burst,,allMids,36991,268,True,,""
probe,burst,,allMids,38270,235,False,,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
probe,burst,,allMids,39520,258,True,,""
probe,burst,,allMids,40789,266,True,,""
probe,burst,,allMids,42073,344,True,,""
burst,burst,58,WIF,22620,20006,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
probe,burst,,allMids,43431,324,True,,""
burst,burst,119,ORDI,23840,20021,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,122,IMX,23840,20020,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,120,AR,23840,20021,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,121,SKY,23840,20021,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,130,CFX,23842,20019,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,131,GALA,23843,20018,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,133,PROVE,23843,20018,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,123,MERL,23841,20021,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,124,SUPER,23841,20021,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,125,BERA,23841,20020,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,126,COMP,23842,20020,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,127,LAYER,23842,20020,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,128,BIO,23842,20020,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,129,WCT,23842,20020,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,132,RESOLV,23843,20020,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
probe,burst,,allMids,44765,241,False,,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
probe,burst,,allMids,46033,301,True,,""
probe,burst,,allMids,47359,289,True,,""
probe,burst,,allMids,48659,310,True,,""
probe,burst,,allMids,50010,309,True,,""
probe,burst,,allMids,51347,250,False,,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
probe,burst,,allMids,52629,312,True,,""
probe,burst,,allMids,53970,365,True,,""
probe,burst,,allMids,55353,251,False,,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
probe,burst,,allMids,56668,359,False,,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
probe,burst,,allMids,58064,700,True,,""
probe,burst,,allMids,59831,389,True,,""
probe,burst,,allMids,61250,515,True,,""
burst,burst,134,PNUT,42628,20006,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
probe,burst,,allMids,62795,268,False,,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
burst,burst,148,MANTA,43863,20006,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,147,MOODENG,43863,20006,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,149,AXS,43863,20005,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,burst,146,XAI,43863,20006,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
