phase,ordinal,symbol,startedAfterMs,durationMs,success,candles,error
before,0,BTC,0,494,True,11,""
before,1,ETH,0,362,True,11,""
before,2,HYPE,0,327,True,11,""
burst,6,XRP,199,9825,True,11,""
burst,3,ZEC,199,9825,True,11,""
burst,2,HYPE,198,9826,True,11,""
burst,5,PUMP,199,9826,True,11,""
burst,1,ETH,198,9827,True,11,""
burst,0,BTC,2,10023,True,11,""
burst,7,XMR,199,9828,True,11,""
burst,4,SOL,199,9830,True,11,""
burst,12,FARTCOIN,10025,296,True,11,""
burst,8,ENA,10025,297,True,11,""
burst,11,UNI,10025,298,True,11,""
burst,15,XPL,10029,295,True,11,""
burst,9,TRUMP,10025,299,True,11,""
burst,14,LIT,10027,297,True,11,""
burst,10,CASHCAT,10025,299,True,11,""
burst,13,NEAR,10025,300,True,11,""
burst,23,kPEPE,10326,537,True,11,""
burst,21,SKR,10325,539,True,11,""
burst,22,DOGE,10325,539,True,11,""
burst,19,LINK,10324,541,True,11,""
burst,18,BNB,10323,541,True,11,""
burst,20,AVAX,10324,541,True,11,""
burst,16,TAO,10322,543,True,11,""
burst,17,SUI,10323,543,True,11,""
burst,28,AAVE,10865,347,True,11,""
burst,30,ADA,10866,348,True,11,""
burst,25,WLD,10864,349,True,11,""
burst,24,NIL,10864,350,True,11,""
burst,29,FET,10865,349,True,11,""
burst,26,MON,10865,350,True,11,""
burst,31,PENGU,10866,349,True,11,""
burst,27,CRV,10865,350,True,11,""
burst,35,ETHFI,11214,242,True,11,""
burst,37,TRX,11215,242,True,11,""
burst,38,CHIP,11215,242,True,11,""
burst,36,AERO,11215,243,True,11,""
burst,39,INJ,11215,242,True,10,""
burst,32,SPX,11213,245,True,11,""
burst,34,DASH,11214,244,True,11,""
burst,33,ONDO,11214,244,True,10,""
burst,40,PURR,11457,251,True,5,""
burst,46,HEMI,11459,20012,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,42,LTC,11458,20013,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,47,GRAM,11459,20013,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,41,VVV,11457,20014,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,43,ZRO,11458,20014,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,44,ARB,11458,20014,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,45,ICP,11458,20013,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,48,VIRTUAL,11709,20023,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,49,DOT,31472,20007,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,53,PAXG,31472,20007,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,55,CC,31472,20008,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,52,kBONK,31472,20008,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,51,JUP,31472,20008,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,50,PENDLE,31472,20009,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,54,MORPHO,31472,20009,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,61,HBAR,51481,242,True,11,""
burst,58,WIF,51480,243,True,11,""
burst,60,ZK,51481,243,True,11,""
burst,59,GRASS,51481,243,True,9,""
burst,63,ASTER,51481,243,True,10,""
burst,62,STRK,51481,245,True,10,""
burst,57,KAITO,51479,248,True,11,""
burst,56,MET,31732,20005,False,0,"[TimeoutError.Timeout] Failed to receive a response from the server in time"
burst,65,BCH,51724,250,True,11,""
burst,67,STBL,51724,250,True,11,""
burst,64,APT,51724,251,True,10,""
burst,70,MNT,51728,247,True,10,""
burst,69,WLFI,51727,249,True,10,""
burst,68,POL,51724,251,True,11,""
burst,66,STX,51724,252,True,10,""
burst,71,ALGO,51738,460,True,11,""
burst,78,MINA,51976,243,True,11,""
burst,77,ACE,51976,244,True,10,""
burst,75,ZORA,51976,245,True,11,""
burst,76,RENDER,51976,245,True,9,""
burst,74,JTO,51975,246,True,11,""
burst,72,XLM,51974,247,True,10,""
burst,73,FOGO,51975,247,True,10,""
burst,80,MELANIA,52220,241,True,11,""
burst,79,OP,52198,264,True,10,""
burst,86,PYTH,52222,240,True,10,""
burst,83,SAND,52221,241,True,9,""
burst,82,STABLE,52221,241,True,11,""
burst,85,FIL,52221,241,True,10,""
burst,81,TIA,52221,242,True,11,""
burst,84,LDO,52221,242,True,11,""
burst,93,ZEN,52463,328,True,9,""
burst,92,MOVE,52463,328,True,11,""
burst,88,ETC,52462,330,True,9,""
burst,90,kSHIB,52463,329,True,11,""
burst,87,MEGA,52461,330,True,10,""
burst,94,GRIFFAIN,52464,328,True,7,""
burst,91,GMX,52463,329,True,10,""
burst,89,INIT,52462,330,True,9,""
burst,99,USUAL,52792,238,True,10,""
burst,97,BOME,52792,240,True,10,""
burst,96,AIXBT,52792,240,True,10,""
burst,95,APEX,52791,240,True,10,""
burst,98,BSV,52792,240,True,11,""
after,0,BTC,0,272,True,11,""
after,1,ETH,0,252,True,11,""
after,2,HYPE,0,396,True,11,""
