kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,1262,True,,""
probe,warmup,,allMids,2288,255,True,,""
probe,warmup,,allMids,3555,378,True,,""
probe,warmup,,allMids,4937,240,True,,""
probe,warmup,,allMids,6186,254,True,,""
probe,warmup,,allMids,7443,474,True,,""
probe,warmup,,allMids,8922,252,True,,""
probe,warmup,,allMids,10188,291,True,,""
probe,warmup,,allMids,11491,287,True,,""
probe,warmup,,allMids,12804,315,True,,""
probe,warmup,,allMids,14135,241,True,,""
probe,warmup,,allMids,15380,277,True,,""
probe,warmup,,allMids,16661,478,True,,""
probe,warmup,,allMids,18142,250,True,,""
probe,warmup,,allMids,19403,239,True,,""
probe,warmup,,allMids,20650,240,True,,""
probe,warmup,,allMids,21893,242,True,,""
probe,warmup,,allMids,23242,311,True,,""
probe,warmup,,allMids,24570,259,True,,""
probe,warmup,,allMids,25839,246,True,,""
probe,warmup,,allMids,27086,239,True,,""
probe,warmup,,allMids,28335,250,True,,""
probe,warmup,,allMids,29596,241,True,,""
probe,warmup,,allMids,30843,243,True,,""
probe,warmup,,allMids,32122,345,True,,""
probe,warmup,,allMids,33474,253,True,,""
probe,warmup,,allMids,34728,247,True,,""
probe,warmup,,allMids,35979,263,True,,""
probe,warmup,,allMids,37256,252,True,,""
probe,warmup,,allMids,38522,248,True,,""
probe,warmup,,allMids,39778,248,True,,""
probe,warmup,,allMids,41031,516,True,,""
probe,warmup,,allMids,42547,244,True,,""
probe,warmup,,allMids,43796,264,True,,""
probe,warmup,,allMids,45069,243,True,,""
probe,warmup,,allMids,46320,472,True,,""
probe,warmup,,allMids,47807,247,True,,""
probe,warmup,,allMids,49058,254,True,,""
probe,warmup,,allMids,50326,255,True,,""
probe,warmup,,allMids,51599,240,True,,""
probe,warmup,,allMids,52850,244,True,,""
probe,warmup,,allMids,54113,243,True,,""
probe,warmup,,allMids,55370,264,True,,""
probe,warmup,,allMids,56636,243,True,,""
probe,warmup,,allMids,57890,245,True,,""
probe,warmup,,allMids,59144,249,True,,""
probe,warmup,,allMids,60433,259,True,,""
probe,warmup,,allMids,61700,247,True,,""
probe,warmup,,allMids,62953,255,True,,""
probe,warmup,,allMids,64219,249,True,,""
probe,warmup,,allMids,65473,239,True,,""
probe,warmup,,allMids,66714,242,True,,""
probe,warmup,,allMids,67971,451,True,,""
probe,warmup,,allMids,69434,260,True,,""
probe,warmup,,allMids,70694,461,True,,""
probe,warmup,,allMids,72171,243,True,,""
probe,warmup,,allMids,73430,240,True,,""
probe,warmup,,allMids,74678,255,True,,""
probe,warmup,,allMids,75942,263,True,,""
probe,warmup,,allMids,77212,457,True,,""
probe,warmup,,allMids,78686,457,True,,""
probe,warmup,,allMids,80150,678,True,,""
probe,warmup,,allMids,81838,247,True,,""
probe,warmup,,allMids,83091,252,True,,""
probe,warmup,,allMids,84358,274,True,,""
probe,warmup,,allMids,85636,464,True,,""
probe,warmup,,allMids,87105,302,True,,""
probe,warmup,,allMids,88416,247,True,,""
probe,warmup,,allMids,89665,248,True,,""
sustain,sustain,0,ETH,90013,721,True,5001,""
sustain,sustain,0,ETH,90018,736,True,5001,""
sustain,sustain,0,ETH,90021,743,True,5001,""
sustain,sustain,0,ETH,90022,886,True,5001,""
probe,sustain,,allMids,90928,313,True,,""
sustain,sustain,0,ETH,90039,1522,True,5001,""
sustain,sustain,0,ETH,90020,1644,True,5001,""
sustain,sustain,0,HYPE,90764,928,True,5001,""
sustain,sustain,0,HYPE,90908,799,True,5001,""
sustain,sustain,0,HYPE,90754,1056,True,5001,""
sustain,sustain,0,ETH,90013,1925,True,5001,""
sustain,sustain,0,ETH,90022,1928,True,5001,""
sustain,sustain,0,HYPE,90735,1447,True,5001,""
sustain,sustain,0,HYPE,91664,679,True,5001,""
sustain,sustain,0,HYPE,91562,835,True,5001,""
sustain,sustain,0,HYPE,91939,788,True,5001,""
sustain,sustain,0,SOL,91707,1105,True,5000,""
probe,sustain,,allMids,92367,502,True,,""
sustain,sustain,0,SOL,91693,1545,True,5000,""
sustain,sustain,0,HYPE,91950,1478,True,5001,""
sustain,sustain,0,SOL,92397,1039,True,5001,""
sustain,sustain,0,SOL,91811,1762,True,5000,""
sustain,sustain,0,SOL,92183,1449,True,5000,""
sustain,sustain,0,SOL,92343,1534,True,5001,""
sustain,sustain,0,ZEC,93436,616,True,5000,""
sustain,sustain,0,SOL,92727,1383,True,5001,""
sustain,sustain,0,ZEC,92813,1331,True,5000,""
probe,sustain,,allMids,94037,358,True,,""
sustain,sustain,0,ZEC,93574,1084,True,5000,""
sustain,sustain,0,SOL,93428,1367,True,5001,""
sustain,sustain,0,ZEC,93878,989,True,5000,""
sustain,sustain,0,ZEC,93239,1776,True,5000,""
sustain,sustain,0,PUMP,94053,977,True,5001,""
sustain,sustain,0,ZEC,93632,1435,True,5000,""
sustain,sustain,0,ZEC,94111,1048,True,5000,""
sustain,sustain,0,PUMP,94144,1016,True,5001,""
sustain,sustain,0,XRP,95160,256,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,PUMP,94658,793,True,5001,""
sustain,sustain,0,ZEC,94796,772,True,5000,""
sustain,sustain,0,PUMP,94867,827,True,5001,""
sustain,sustain,0,XMR,95417,424,True,5000,""
probe,sustain,,allMids,95402,487,True,,""
sustain,sustain,0,XRP,95452,470,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,PUMP,95015,1068,True,5001,""
sustain,sustain,0,XRP,95694,409,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,XMR,95922,257,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,PUMP,95160,1187,True,5001,""
sustain,sustain,0,XMR,96104,248,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,XRP,95031,1459,True,5001,""
sustain,sustain,0,PUMP,95067,1464,True,5001,""
sustain,sustain,0,XRP,96347,254,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,ENA,96353,248,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,XRP,96083,542,True,5001,""
sustain,sustain,0,XMR,96491,257,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,PUMP,95568,1208,True,5001,""
sustain,sustain,0,XMR,96601,249,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,XRP,96532,445,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,ENA,96749,269,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,ENA,96850,284,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
probe,sustain,,allMids,96892,272,False,,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
sustain,sustain,0,XMR,96626,558,True,5000,""
sustain,sustain,0,XMR,96978,239,False,0,"[ServerRateLimitError.RateLimitRequest] Server rate limit exceeded"
