kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,761,True,,""
probe,warmup,,allMids,1769,255,True,,""
probe,warmup,,allMids,3040,266,True,,""
probe,warmup,,allMids,4321,246,True,,""
probe,warmup,,allMids,5574,459,True,,""
probe,warmup,,allMids,7038,250,True,,""
probe,warmup,,allMids,8301,246,True,,""
probe,warmup,,allMids,9552,458,True,,""
probe,warmup,,allMids,11019,464,True,,""
probe,warmup,,allMids,12496,238,True,,""
probe,warmup,,allMids,13744,263,True,,""
probe,warmup,,allMids,15021,243,True,,""
probe,warmup,,allMids,16269,424,True,,""
probe,warmup,,allMids,17705,510,True,,""
probe,warmup,,allMids,19230,268,True,,""
probe,warmup,,allMids,20515,472,True,,""
probe,warmup,,allMids,21988,281,True,,""
probe,warmup,,allMids,23313,490,True,,""
probe,warmup,,allMids,24813,474,True,,""
probe,warmup,,allMids,26305,248,True,,""
probe,warmup,,allMids,27568,242,True,,""
probe,warmup,,allMids,28813,241,True,,""
probe,warmup,,allMids,30069,244,True,,""
probe,warmup,,allMids,31319,249,True,,""
probe,warmup,,allMids,32579,240,True,,""
probe,warmup,,allMids,33822,250,True,,""
probe,warmup,,allMids,35080,454,True,,""
probe,warmup,,allMids,36540,256,True,,""
probe,warmup,,allMids,37801,248,True,,""
probe,warmup,,allMids,39054,356,True,,""
probe,warmup,,allMids,40413,248,True,,""
probe,warmup,,allMids,41671,477,True,,""
probe,warmup,,allMids,43199,264,True,,""
probe,warmup,,allMids,44473,249,True,,""
probe,warmup,,allMids,45725,292,True,,""
probe,warmup,,allMids,47021,250,True,,""
probe,warmup,,allMids,48278,255,True,,""
probe,warmup,,allMids,49537,458,True,,""
probe,warmup,,allMids,51009,284,True,,""
probe,warmup,,allMids,52308,327,True,,""
probe,warmup,,allMids,53641,249,True,,""
probe,warmup,,allMids,54906,460,True,,""
probe,warmup,,allMids,56373,463,True,,""
probe,warmup,,allMids,57853,266,True,,""
probe,warmup,,allMids,59129,250,True,,""
probe,warmup,,allMids,60451,305,True,,""
probe,warmup,,allMids,61764,263,True,,""
probe,warmup,,allMids,63031,249,True,,""
probe,warmup,,allMids,64286,505,True,,""
probe,warmup,,allMids,65796,456,True,,""
probe,warmup,,allMids,67289,708,True,,""
probe,warmup,,allMids,69006,457,True,,""
probe,warmup,,allMids,70474,261,True,,""
probe,warmup,,allMids,71738,484,True,,""
probe,warmup,,allMids,73225,690,True,,""
probe,warmup,,allMids,74929,450,True,,""
probe,warmup,,allMids,76389,262,True,,""
probe,warmup,,allMids,77697,551,True,,""
probe,warmup,,allMids,79268,506,True,,""
probe,warmup,,allMids,80788,296,True,,""
probe,warmup,,allMids,82093,460,True,,""
probe,warmup,,allMids,83559,452,True,,""
probe,warmup,,allMids,85015,242,True,,""
probe,warmup,,allMids,86269,453,True,,""
probe,warmup,,allMids,87732,454,True,,""
probe,warmup,,allMids,89200,450,True,,""
sustain,sustain,0,ETH,90043,270,True,11,""
sustain,sustain,0,ETH,90022,391,True,11,""
sustain,sustain,0,ETH,90060,361,True,11,""
sustain,sustain,0,ETH,90050,372,True,11,""
sustain,sustain,0,ETH,90054,369,True,11,""
sustain,sustain,0,ETH,90053,374,True,11,""
sustain,sustain,0,ETH,90053,375,True,11,""
sustain,sustain,0,ETH,90053,375,True,11,""
sustain,sustain,0,HYPE,90313,243,True,11,""
sustain,sustain,0,HYPE,90414,265,True,11,""
sustain,sustain,0,HYPE,90428,252,True,11,""
sustain,sustain,0,HYPE,90422,266,True,11,""
sustain,sustain,0,HYPE,90429,278,True,11,""
sustain,sustain,0,HYPE,90424,283,True,11,""
sustain,sustain,0,HYPE,90421,286,True,11,""
sustain,sustain,0,HYPE,90428,280,True,11,""
sustain,sustain,0,SOL,90557,268,True,11,""
sustain,sustain,0,SOL,90679,268,True,11,""
sustain,sustain,0,SOL,90689,267,True,11,""
sustain,sustain,0,SOL,90680,294,True,11,""
sustain,sustain,0,SOL,90707,269,True,11,""
sustain,sustain,0,SOL,90708,285,True,11,""
sustain,sustain,0,SOL,90707,292,True,11,""
sustain,sustain,0,SOL,90707,293,True,11,""
sustain,sustain,0,ZEC,90825,248,True,11,""
probe,sustain,,allMids,90664,497,True,,""
sustain,sustain,0,ZEC,90947,246,True,11,""
sustain,sustain,0,ZEC,90956,265,True,11,""
sustain,sustain,0,ZEC,90975,259,True,11,""
sustain,sustain,0,ZEC,90977,269,True,11,""
sustain,sustain,0,ZEC,90994,261,True,11,""
sustain,sustain,0,ZEC,91000,258,True,11,""
